delta	p	T	H
0.99	0.4	193	0.000571
0.98	0.4	115.0	0.001065
0.97	0.4	77.0	0.001876
0.96	0.4	56.0	0.003192
0.95	0.4	47.0	0.005286
0.94	0.4	43.0	0.008551000000000001
0.93	0.4	39.0	0.013572999999999998
0.92	0.4	37.0	0.021081
0.91	0.4	37.0	0.032017000000000004
0.9	0.4	34.0	0.047917
0.89	0.4	33.0	0.070076
0.88	0.4	33.0	0.100253
0.87	0.4	31.0	0.141128
0.86	0.4	30.0	0.19431199999999998
0.85	0.4	30.0	0.261602
0.84	0.4	30.0	0.34541
0.83	0.4	30.0	0.447441
0.82	0.4	27.0	0.57152
0.81	0.4	26.0	0.714551
0.8	0.4	25.0	0.863283
0.79	0.4	25.0	1.021893
0.78	0.4	25.0	1.185673
0.77	0.4	21.0	1.369441
0.76	0.4	21.0	1.552207
0.75	0.4	19.0	1.748809
0.74	0.4	18.0	1.947495
0.73	0.4	18.0	2.146227
0.72	0.4	15.0	2.357017
0.71	0.4	15.0	2.556389
0.7	0.4	14.0	2.759354
0.6	0.4	7.0	4.666206
0.55	0.4	5.0	5.527046
0.5	0.4	5.0	6.310809
0.45	0.4	3.0	7.074627
0.4	0.4	2.0	7.79528
0.35	0.4	2.0	8.402792
0.3	0.4	2.0	8.985909
0.25	0.4	2.0	9.528198
0.2	0.4	2.0	9.993864
