noEvo	discrate	delta	Thorizon	tau	hyper	T	year	p	meanm	H_B	recruits	ssb	accessible	costs	surplus	totalnumber	n11	n12	n13	n14	n15	n16	n17	n18	n19	n110	n21	n22	n23	n24	n25	n26	n27	n28	n29	n210	n31	n32	n33	n34	n35	n36	n37	n38	n39	n310	n41	n42	n43	n44	n45	n46	n47	n48	n49	n410	n51	n52	n53	n54	n55	n56	n57	n58	n59	n510	n61	n62	n63	n64	n65	n66	n67	n68	n69	n610	h11	h12	h13	h14	h15	h16	h17	h18	h19	h110	h21	h22	h23	h24	h25	h26	h27	h28	h29	h210	h31	h32	h33	h34	h35	h36	h37	h38	h39	h310	h41	h42	h43	h44	h45	h46	h47	h48	h49	h410	h51	h52	h53	h54	h55	h56	h57	h58	h59	h510	h61	h62	h63	h64	h65	h66	h67	h68	h69	h610
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	0	0.550000	64.750000	64.229788	555.450000	101.654612	862.299338	77.700408	73.319189	2323.417913	1.168337	12.851704	62.830553	179.183429	328.502953	401.503609	327.151089	171.364856	52.361484	7.110819	0.527488	5.802364	28.367112	80.898802	148.314470	181.273241	147.704122	77.368826	23.640475	3.210435	0.053967	0.593636	2.902220	8.276701	15.173951	18.545940	15.111507	7.915551	2.418641	0.328457	0.006603	0.072629	0.355073	1.012615	1.856460	2.269007	1.848820	0.968430	0.295909	0.040185	0.001343	0.014769	0.072205	0.205917	0.377514	0.461406	0.375960	0.196932	0.060174	0.008172	0.000349	0.003838	0.018761	0.053505	0.098092	0.119890	0.097688	0.051170	0.015635	0.002123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006697	0.047845	0.199273	0.521947	0.911554	1.084460	0.873114	0.457801	0.142374	0.020864	0.006581	0.076183	0.390987	1.167898	2.238057	2.853850	2.421872	1.319154	0.418522	0.058934	0.006255	0.072213	0.369719	1.101952	2.107455	2.682369	2.272486	1.235844	0.391520	0.055057	0.002157	0.024578	0.124399	0.366863	0.694764	0.876267	0.736086	0.397141	0.124885	0.017441	0.000132	0.001484	0.007447	0.021784	0.040940	0.051263	0.042768	0.022926	0.007165	0.000995	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	1	0.550000	64.750000	82.769863	804.627294	165.208189	946.250003	100.128809	82.782230	1289.950590	0.993828	5.858086	21.288368	49.876608	79.076123	86.189674	63.947131	31.018225	8.954577	1.231496	1.074511	7.676549	31.972721	83.744693	146.255814	173.998002	140.088199	73.452643	22.843355	3.347613	0.143485	1.660997	8.524556	25.463275	48.795596	62.221526	52.803251	28.761061	9.124890	1.284919	0.010811	0.124826	0.639097	1.904839	3.642958	4.636757	3.928231	2.136286	0.676783	0.095172	0.000000	0.000001	0.000007	0.000022	0.000043	0.000054	0.000046	0.000024	0.000007	0.000000	0.000322	0.003639	0.018261	0.053420	0.100395	0.125710	0.104879	0.056219	0.017570	0.002439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016618	0.087803	0.304595	0.693552	1.079603	1.165269	0.864948	0.426602	0.129455	0.021265	0.012807	0.105361	0.478465	1.337221	2.460343	3.057226	2.554442	1.382557	0.441376	0.065551	0.006479	0.079145	0.427455	1.340408	2.690554	3.586394	3.175598	1.801662	0.594446	0.086924	0.002203	0.027142	0.147721	0.466393	0.941897	1.262402	1.123342	0.640188	0.212091	0.031130	0.000126	0.001419	0.007120	0.020829	0.039144	0.049015	0.040893	0.021920	0.006851	0.000951	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	2	0.550000	64.750000	102.554136	1034.846864	239.445504	1020.984427	124.062347	91.272103	997.037676	1.320614	5.783886	17.114959	33.719315	45.933546	43.843197	29.111139	13.041018	3.686472	0.605602	1.536812	8.120141	28.169313	64.140462	99.842869	107.765354	79.991377	39.452662	11.972169	1.966650	0.305765	2.515428	11.423046	31.925296	58.739116	72.989314	60.985660	33.007672	10.537569	1.564982	0.035588	0.434718	2.347881	7.362452	14.778392	19.698970	17.442595	9.895978	3.265110	0.477448	0.000000	0.000005	0.000030	0.000097	0.000198	0.000265	0.000236	0.000134	0.000044	0.000006	0.000124	0.001402	0.007039	0.020591	0.038699	0.048458	0.040428	0.021671	0.006772	0.000940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024163	0.108573	0.342127	0.725453	1.068505	1.106158	0.799998	0.393730	0.124658	0.024330	0.028015	0.172970	0.672567	1.681360	2.831352	3.266836	2.563656	1.320246	0.410608	0.065467	0.011042	0.103221	0.508582	1.516935	2.950274	3.849799	3.360634	1.891703	0.624964	0.094891	0.002768	0.036080	0.207148	0.688091	1.458501	2.047184	1.903953	1.131975	0.390571	0.059610	0.000097	0.001087	0.005457	0.015963	0.030004	0.037575	0.031354	0.016810	0.005254	0.000730	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	3	0.550000	64.750000	117.194414	1211.752724	310.678800	1091.126188	141.773063	96.528859	954.514513	1.746357	6.813161	19.065277	36.307215	48.427152	45.723745	30.376883	13.853303	4.114436	0.772834	2.066271	9.284654	29.257038	62.037202	91.373414	94.593321	68.411925	33.669911	10.660167	2.080572	0.466224	2.878603	11.193023	27.981612	47.120054	54.367490	42.664996	21.971868	6.833436	1.089509	0.084759	0.792360	3.904042	11.644504	22.647288	29.552346	25.797353	14.521349	4.797434	0.728414	0.004484	0.058462	0.335655	1.114961	2.363311	3.317197	3.085109	1.834218	0.632868	0.096590	0.000000	0.000000	0.000005	0.000017	0.000034	0.000042	0.000035	0.000018	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026813	0.109028	0.327900	0.679688	0.995195	1.039055	0.769016	0.394024	0.132913	0.028990	0.048934	0.249077	0.862617	1.977855	3.110246	3.398739	2.564006	1.297211	0.413226	0.077373	0.022264	0.161174	0.700880	1.919523	3.494873	4.317952	3.598618	1.950827	0.630173	0.099828	0.004602	0.047703	0.253221	0.805194	1.658741	2.281768	2.091598	1.231964	0.424257	0.066586	0.000127	0.001768	0.010793	0.037978	0.085006	0.125641	0.122732	0.076466	0.027590	0.004395	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	4	0.550000	64.750000	128.564654	1335.117639	370.207691	1157.238931	155.527933	99.889760	999.081921	2.180068	7.847618	21.334694	40.408513	54.447950	52.574739	36.112897	17.215797	5.413292	1.104464	2.628953	10.689979	32.149819	66.641831	97.576487	101.876834	75.400207	38.633102	13.031787	2.842368	0.636740	3.241020	11.224465	25.736072	40.470872	44.224774	33.363128	16.879451	5.376949	1.006788	0.138770	1.004599	4.368582	11.964387	21.783545	26.913795	22.430188	12.159502	3.927866	0.622228	0.015374	0.159383	0.846046	2.690264	5.542079	7.623701	6.988316	4.116160	1.417501	0.222472	0.000484	0.006734	0.041102	0.144627	0.323716	0.478460	0.467384	0.291195	0.105067	0.016736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028285	0.106522	0.310003	0.635265	0.933530	0.990431	0.753285	0.401029	0.142257	0.033389	0.063750	0.286180	0.925139	2.030112	3.109932	3.363352	2.554915	1.331385	0.452259	0.097795	0.040734	0.240699	0.932757	2.349597	4.005492	4.691817	3.750445	1.980663	0.642314	0.114177	0.008310	0.069317	0.333189	0.992053	1.943969	2.566550	2.272302	1.300822	0.439956	0.070911	0.000191	0.002199	0.012595	0.042796	0.093644	0.136219	0.131556	0.081364	0.029313	0.004773	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	5	0.550000	64.750000	137.465256	1413.251965	413.203351	1216.653848	166.295217	102.280536	1066.936006	2.604666	8.746608	23.122255	43.463240	58.949894	57.950331	40.927685	20.250127	6.674850	1.456302	3.194788	12.031577	35.014550	71.752451	105.441166	111.868050	85.082765	45.295771	16.067769	3.771220	0.825368	3.705186	11.977831	26.283992	40.264486	43.545530	33.078642	17.237526	5.855421	1.266163	0.190483	1.125588	4.361884	10.987506	18.731023	21.940510	17.538339	9.262243	3.003673	0.533928	0.029243	0.243949	1.172612	3.491391	6.841528	9.032616	7.997049	4.578060	1.548363	0.249560	0.002279	0.026201	0.150068	0.509905	1.115745	1.623020	1.567461	0.969434	0.349262	0.056873	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030428	0.107205	0.302563	0.612260	0.899749	0.964329	0.747445	0.408878	0.150374	0.037288	0.072368	0.296859	0.918553	1.973492	3.009451	3.286993	2.557475	1.385852	0.498339	0.117913	0.060767	0.309105	1.098195	2.603520	4.250365	4.838125	3.818508	2.035722	0.692604	0.143810	0.014462	0.099869	0.434352	1.205679	2.237577	2.826439	2.414645	1.347690	0.453022	0.078337	0.000293	0.002838	0.015137	0.049186	0.104168	0.147653	0.139601	0.084895	0.030278	0.005019	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	6	0.550000	64.750000	144.161825	1458.843695	440.524852	1268.892115	174.396227	103.928773	1131.617260	3.032261	9.557249	24.524844	45.521305	61.703356	61.212307	44.000326	22.337744	7.622746	1.754895	3.763701	13.260588	37.425054	75.732408	111.292891	119.280961	92.453934	50.575472	18.600201	4.612243	1.027919	4.216572	13.047106	28.031428	42.746176	46.688368	36.326319	19.684607	7.078394	1.674832	0.244148	1.241922	4.412336	10.460440	17.077144	19.438653	15.342028	8.179139	2.782748	0.577800	0.041996	0.290005	1.261302	3.501142	6.497646	8.207626	7.011827	3.913524	1.315519	0.227481	0.005459	0.052953	0.282493	0.917912	1.943997	2.755526	2.605243	1.584322	0.565051	0.093671	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033900	0.112378	0.307445	0.612297	0.894783	0.961435	0.752265	0.418131	0.157457	0.040724	0.080296	0.306142	0.914959	1.935960	2.948072	3.252255	2.581741	1.441094	0.539258	0.135493	0.076508	0.348747	1.167146	2.668568	4.274821	4.849428	3.877751	2.137144	0.773095	0.180962	0.022891	0.134915	0.536317	1.397230	2.472900	3.015146	2.516501	1.394937	0.480110	0.094067	0.000437	0.003651	0.018159	0.056364	0.115394	0.159262	0.147420	0.088283	0.031310	0.005368	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	7	0.550000	64.750000	149.278052	1487.341411	458.531929	1315.556630	180.585456	105.085825	1183.693582	3.485609	10.356692	25.760841	47.014972	63.280140	62.827301	45.507726	23.435074	8.177767	1.962522	4.355993	14.440048	39.505375	78.677506	114.975730	123.540194	96.662787	53.727999	20.232592	5.232887	1.237263	4.717280	14.098431	29.830850	45.426304	50.113391	39.781572	22.205554	8.309334	2.087779	0.306628	1.397708	4.677691	10.695095	17.132644	19.435555	15.541264	8.565253	3.098411	0.725261	0.052198	0.307650	1.222981	3.186148	5.639034	6.875535	5.738458	3.180918	1.094809	0.214502	0.009518	0.079579	0.395851	1.228657	2.515444	3.471714	3.213570	1.924457	0.682514	0.117022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038650	0.121074	0.321022	0.627718	0.908514	0.973396	0.763886	0.428343	0.164015	0.044026	0.090430	0.323268	0.935428	1.947938	2.952383	3.270394	2.626136	1.492885	0.573285	0.150489	0.089108	0.373233	1.196034	2.673484	4.251860	4.852954	3.954630	2.250958	0.853934	0.215714	0.031938	0.165487	0.611114	1.515377	2.595751	3.107489	2.586166	1.459289	0.528796	0.118945	0.000626	0.004597	0.021421	0.063676	0.126346	0.170324	0.155009	0.091976	0.032765	0.005945	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	8	0.550000	64.750000	153.524888	1510.473610	473.712574	1358.494125	185.722962	105.978303	1223.275779	3.973352	11.173877	26.935699	48.230710	64.219770	63.492320	46.063319	23.902415	8.474657	2.111043	4.986027	15.619342	41.413819	80.979541	117.203964	125.574067	98.545968	55.258847	21.158918	5.679574	1.452740	5.193245	15.027503	31.293302	47.429551	52.538346	42.188440	23.982952	9.209732	2.417585	0.378314	1.584581	5.077833	11.350440	18.051534	20.603512	16.789622	9.556581	3.625430	0.915827	0.062038	0.321452	1.187070	2.943574	5.042168	6.036205	5.023551	2.834625	1.027170	0.231045	0.013866	0.101842	0.474551	1.410679	2.799050	3.773334	3.434058	2.037628	0.725865	0.131709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044247	0.131558	0.338360	0.649186	0.928981	0.990036	0.776999	0.438280	0.170288	0.047452	0.103325	0.348236	0.976237	1.997132	3.001523	3.320571	2.678959	1.538852	0.601563	0.163900	0.101970	0.398022	1.230312	2.700218	4.270191	4.896610	4.044997	2.353734	0.921192	0.244756	0.039959	0.186946	0.652352	1.562932	2.629466	3.137335	2.642190	1.536312	0.587936	0.146904	0.000857	0.005612	0.024620	0.070352	0.135817	0.179687	0.161767	0.095898	0.034738	0.006816	
0	0.010207	0.989896	295.000000	0.000000	1.180000	35.000000	9	0.550000	64.750000	157.475379	1534.049174	489.733857	1398.821111	190.501971	106.761661	1254.313009	4.489813	12.003112	28.077519	49.322476	64.901228	63.785167	46.250108	24.130335	8.680303	2.245916	5.653486	16.809125	43.232185	82.946426	118.695761	126.496780	99.277115	55.999049	21.757689	6.062878	1.677066	5.652211	15.845301	32.415448	48.717725	53.896193	43.482180	24.977106	9.763973	2.660265	0.455826	1.779236	5.499729	12.070491	19.088571	21.888785	18.081913	10.521644	4.117903	1.094105	0.074562	0.348841	1.217289	2.916434	4.906589	5.854272	4.930331	2.866760	1.097089	0.274123	0.018346	0.120094	0.526816	1.505400	2.906239	3.844972	3.461504	2.052036	0.743325	0.145845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050145	0.142160	0.355319	0.669414	0.947178	1.003756	0.787524	0.446808	0.176270	0.051078	0.118287	0.377600	1.026367	2.060820	3.064537	3.375481	2.726062	1.576380	0.625456	0.176779	0.116774	0.428235	1.280535	2.760192	4.331651	4.968964	4.133936	2.437645	0.973981	0.269142	0.047097	0.203050	0.678036	1.585030	2.639577	3.156271	2.695468	1.608855	0.641091	0.171479	0.001123	0.006625	0.027481	0.075757	0.142865	0.186408	0.167046	0.099745	0.037136	0.007970	
